Ranking,Chinese Name,English Name,LONGITUDE,LATITUDE,"Academic	",Sport,Music,Campus,Teacher,Boarding Fee,School Type,Poi
79,聖愛德華天主教小學,St. Edward's Catholic Primary School,114.23114,22.28182,6.5 (6.5),7 (7),5 (5),6 (6),7 (7),-,資助,6.98 (6.98)
80,筲箕灣崇真學校,Shaukiwan Tsung Tsin School,114.23114,22.28182,6.5 (6.5),7 (7),8.3 (8.3),6 (6),9 (9),-,資助,6.9 (6.9)
81,聖公會油塘基顯小學,S.K.H. Yautong Kei Hin Primary School,114.23531,22.30005,8 (8),8 (8),7.8 (7.8),8 (8),8 (8),-,資助,6.89 (6.89)
82,保良局黃永樹小學,P.L.K. Wong Wing Shu Primary School,114.2571,22.30938,8 (8),6 (6),5.5 (5.5),8 (8),3 (3),-,資助,6.88 (6.88)
83,東華三院王余家潔紀念小學,TWGHs Wong Yee Jar Jat Memorial Primary School,114.25943,22.31932,6.5 (6.5),7 (7),8.3 (8.3),9 (9),5 (5),-,資助,6.88 (6.88)
84,浸信會呂明才小學,Baptist Lui Ming Choi Primary School,114.2023,22.3879,8 (8),6 (6),9 (9),5 (5),5 (5),-,資助,6.87 (6.87)
85,大埔舊墟公立學校（寶湖道）,Tai Po Old Market Public School (Plover Cove),114.17037,22.44878,8 (8),8 (8),5.3 (5.3),7 (7),9 (9),-,資助,6.87 (6.87)
86,拔萃小學,Diocesan Preparatory School,114.179,22.3292,8 (8),5 (5),7.5 (7.5),7.5 (7.5),6.5 (6.5),-,資助,6.86 (6.86)
87,保良局志豪小學,Po Leung Kuk Horizon East Primary School,113.96652,22.41128,7 (7),7 (7),8.5 (8.5),6.5 (6.5),5 (5),-,資助,6.85 (6.85)
88,嘉諾撒小學（新蒲崗）,Canossa Primary School (San Po Kong),114.20203,22.337,7 (7),7 (7),7.8 (7.8),6.5 (6.5),5 (5),-,資助,6.83 (6.83)
89,聖公會青衣邨何澤芸小學,S.K.H. Tsing Yi Estate Ho Chak Wan Primary School,114.10459,22.35562,6.5 (6.5),8 (8),6 (6),7 (7),7 (7),-,資助,6.82 (6.82)
90,保良局世德小學,Po Leung Kuk Castar Primary School,114.1066,22.35494,6.5 (6.5),9 (9),8.5 (8.5),6.5 (6.5),5 (5),-,資助,6.81 (6.81)
91,聖公會基福小學,S.K.H. Kei Fook Primary School,114.15421,22.33649,8 (8),6.5 (6.5),4.8 (4.8),8 (8),5 (5),-,資助,6.8 (6.8)
92,寶血會伍季明紀念學校,Kwai-ming Wu Memorial School of The Precious Blood,114.11905,22.37429,7 (7),7 (7),8.5 (8.5),5 (5),8 (8),-,資助,6.8 (6.8)
93,聖公會聖紀文小學,S.K.H. St. Clement's Primary School,114.15367,22.33483,7 (7),6.5 (6.5),7.5 (7.5),4 (4),7 (7),-,資助,6.79 (6.79)
94,聖安多尼學校,St. Anthony's School,114.13733,22.28521,7 (7),6 (6),7.5 (7.5),5 (5),9 (9),-,資助,6.79 (6.79)
95,聖公會基恩小學,S.K.H. Kei Yan Primary School,114.15175,22.284,8 (8),6.5 (6.5),4.8 (4.8),5 (5),5 (5),-,資助,6.78 (6.78)
96,中華基督教會基華小學（九龍塘）,C.C.C. Kei Wa Primary School (Kowloon Tong),114.18044,22.32966,8 (8),6.5 (6.5),7.8 (7.8),5 (5),5 (5),-,資助,6.78 (6.78)
97,港九街坊婦女會孫方中小學,HKKKWA Sun Fong Chung Primary School,114.17747,22.45386,6.5 (6.5),8 (8),9.5 (9.5),5 (5),9 (9),-,資助,6.77 (6.77)
98,陳瑞祺（喇沙）小學,Chan Sui Ki (La Salle) Primary School,114.18114,22.31877,9 (9),8 (8),5.5 (5.5),6.5 (6.5),4 (4),-,資助,6.76 (6.76)
99,嘉諾撒聖方濟各學校,St. Francis' Canossian School,114.16897,22.27541,7 (7),8 (8),7.8 (7.8),5 (5),7 (7),-,資助,6.76 (6.76)
100,寶血會思源學校,Si Yuan School of the Precious Blood,114.12253,22.37057,7 (7),6.5 (6.5),9 (9),5 (5),9 (9),-,資助,6.75 (6.75)
