School Name,LONGITUDE,LATITUDE,School Type
"HONG CHI MORNINGLIGHT SCHOOL, TUEN MUN (PRIMARY SECTION)",113.96537,22.3868,PRIMARY
PO LEUNG KUK HONG KONG TAOIST ASSOCIATION YUEN YUEN PRIMARY SCHOOL,113.98028,22.38671,PRIMARY
INTERNATIONAL CHRISTIAN SCHOOL,114.21023,22.38661,PRIMARY
THE CHURCH OF CHRIST IN CHINA HOH FUK TONG PRIMARY SCHOOL,113.96719,22.38652,PRIMARY
SHUN TAK FRATERNAL ASSOCIATION WU SIU KUI MEMORIAL PRIMARY SCHOOL,113.97705,22.38641,PRIMARY
LUI CHEUNG KWONG LUTHERAN PRIMARY SCHOOL,113.9776,22.38641,PRIMARY
THE LITTLE FLOWER'S CATHOLIC PRIMARY SCHOOL,114.19379,22.38585,PRIMARY
S.K.H. HOLY SPIRIT PRIMARY SCHOOL,114.19171,22.38581,PRIMARY
SHATIN TSUNG TSIN SCHOOL,114.19073,22.38559,PRIMARY
HONG KONG ACADEMY,114.27469,22.38522,PRIMARY
YAN CHAI HOSPITAL HO SIK NAM PRIMARY SCHOOL,113.97162,22.38503,PRIMARY
DR. CATHERINE F. WOO MEMORIAL SCHOOL,114.20362,22.38475,PRIMARY
SAI KUNG CENTRAL LEE SIU YAM MEMORIAL SCHOOL,114.27638,22.38448,PRIMARY
SAI KUNG SUNG TSUN CATHOLIC SCHOOL (PRIMARY SECTION),114.27042,22.38283,PRIMARY
LUNG KONG WORLD FEDERATION SCHOOL LTD. WONG YIU NAM PRIMARY SCHOOL,114.21484,22.3824,PRIMARY
CHI HONG PRIMARY SCHOOL,114.1971,22.38222,PRIMARY
HONG KONG CHRISTIAN SERVICE PUI OI SCHOOL (PRIMARY SECTION),113.97377,22.38196,PRIMARY
BAPTIST (SHA TIN WAI) LUI MING CHOI PRIMARY SCHOOL,114.19795,22.3814,PRIMARY
SHA TIN METHODIST PRIMARY SCHOOL,114.21464,22.38018,PRIMARY
HONG KONG RED CROSS HOSPITAL SCHOOLS (PRIMARY SECTION),114.20129,22.37994,PRIMARY
HO SHUN PRIMARY SCHOOL (SPONSORED BY THE SIK SIK YUEN),114.13419,22.37976,PRIMARY
FREE METHODIST MEI LAM PRIMARY SCHOOL,114.17409,22.37965,PRIMARY
S.K.H. CHU OI PRIMARY SCHOOL (LEI MUK SHUE),114.13398,22.37936,PRIMARY
THE CHURCH OF CHRIST IN CHINA KEI WAI PRIMARY SCHOOL,114.10463,22.37918,PRIMARY
TWGHS SHUI CHUEN O PRIMARY SCHOOL,114.17779,22.37848,PRIMARY
CHAI WAN KOK CATHOLIC PRIMARY SCHOOL,114.10647,22.37816,PRIMARY
FIVE DISTRICTS BUSINESS WELFARE ASSOCIATION CHOW CHIN YAU SCHOOL,113.96286,22.37791,PRIMARY
LEI MUK SHUE CATHOLIC PRIMARY SCHOOL,114.13389,22.37786,PRIMARY
HARROW INTERNATIONAL SCHOOL HONG KONG,113.99138,22.37683,PRIMARY
PO LEUNG KUK LEUNG CHOW SHUN KAM PRIMARY SCHOOL,113.96412,22.37675,PRIMARY
YAN TAK CATHOLIC PRIMARY SCHOOL,113.96373,22.37622,PRIMARY
PO LEUNG KUK CHEE JING YIN PRIMARY SCHOOL,114.19597,22.37609,PRIMARY
CARITAS LOK JUN SCHOOL (PRIMARY SECTION),114.18273,22.37566,PRIMARY
SHA TIN WAI DR. CATHERINE F. WOO MEMORIAL SCHOOL,114.19112,22.37555,PRIMARY
LUTHERAN TSANG SHING SIU LEUN SCHOOL,113.96145,22.37549,PRIMARY
TUNG WAH GROUP OF HOSPITALS SIN CHU WAN PRIMARY SCHOOL,114.17962,22.37548,PRIMARY
TSUEN WAN PUBLIC HO CHUEN YIU MEMORIAL PRIMARY SCHOOL,114.12559,22.3754,PRIMARY
THE SALVATION ARMY TIN KA PING SCHOOL,114.19241,22.37517,PRIMARY
SHATIN PUBLIC SCHOOL (PRIMARY SECTION),114.17679,22.37515,PRIMARY
